codmpio,depto2010,mpio2010,codmpio1928,depto1928,mpio1928,match,men1918,women1918,pop1918,houses1928,families1928,men1928,women1928,pop1928,men21_1928,ink
11001,Bogota,Bogota,7026,Cundinamarca,Engativa,1,377,428,805,152,222,498,528,1026,220,
25269,Cundinamarca,Facatativa,7027,Cundinamarca,Facatativa,1,4587,6020,10607,1886,2581,5960,7422,13382,2824,
25279,Cundinamarca,Fomeque,7028,Cundinamarca,Fomeque,1,6462,6616,13078,2461,2218,8211,7186,15397,673,
11001,,Bogota,7029,Cundinamarca,Fontibon,1,1195,1452,2647,565,563,1477,1961,3438,4059,
25281,Cundinamarca,Fosca,7030,Cundinamarca,Fosca,1,2300,2426,4726,923,537,2718,2790,5508,1204,
25286,Cundinamarca,Funza,7031,Cundinamarca,Funza,1,1806,2292,4098,609,508,1345,1663,3008,630,
25288,Cundinamarca,Fuquene,7032,Cundinamarca,Fuquene,1,1631,1803,3434,832,831,3109,2557,5666,1852,
25290,Cundinamarca,Fusagasuga,7033,Cundinamarca,Fusagasuga,1,8176,8019,16195,2797,3028,10276,9745,20021,4854,
25293,Cundinamarca,Gachala,7034,Cundinamarca,Gachala,1,3150,3376,6526,1305,1251,3773,3896,7669,1638,
25295,Cundinamarca,Gachancipa,7035,Cundinamarca,Gacanchipa,1,920,1090,2010,444,353,781,903,1684,410,
25297,Cundinamarca,Gacheta,7036,Cundinamarca,Gacheta,1,6507,7093,13600,2870,2522,6853,7421,14274,2948,
25299,Cundinamarca,Gama,7037,Cundinamarca,Gama,1,2418,2683,5101,1164,979,2553,3037,5590,1132,
25307,Cundinamarca,Girardot,7038,Cundinamarca,Girardot,1,6224,7188,13412,2985,3070,11215,12594,23809,5815,
25317,Cundinamarca,Guacheta,7039,Cundinamarca,Guacheta,1,2750,3623,6373,1412,1224,2984,3773,6757,1346,
25320,Cundinamarca,Guaduas,7040,Cundinamarca,Guaduas,1,6383,6495,12878,2888,2600,7419,7322,14741,3591,
25322,Cundinamarca,Guasca,7041,Cundinamarca,Guasca,1,3142,2892,6034,1076,1420,5540,4614,10154,3512,
25324,Cundinamarca,Guataqui,7042,Cundinamarca,Guataqui,1,867,777,1644,306,316,948,973,1921,428,
25326,Cundinamarca,Guatavita,7043,Cundinamarca,Guatavita,1,3346,4025,7371,1138,1028,2742,2998,5740,1257,
25328,Cundinamarca,Guayabal De Siquima,7044,Cundinamarca,Guayabal De Siquima,1,4137,4355,8492,847,1095,7378,5148,12526,4996,
25339,Cundinamarca,Gutierrez,7045,Cundinamarca,Gutierrez,1,1183,1273,2456,479,448,1345,1529,2874,509,
25368,Cundinamarca,Jerusalen,7046,Cundinamarca,Jerusalen,1,1655,1437,3092,372,437,1456,1281,2737,630,
25372,Cundinamarca,Junin,7047,Cundinamarca,Junin,1,5811,6518,12329,3689,3162,8733,9169,17902,3891,
25377,Cundinamarca,La Calera,7048,Cundinamarca,La Calera,1,2408,2290,4698,1449,881,2828,2711,5539,1303,
25386,Cundinamarca,La Mesa,7049,Cundinamarca,La Mesa,1,5477,5475,10952,1753,1061,5583,5445,11028,2820,
25394,Cundinamarca,La Palma,7050,Cundinamarca,La Palma,1,5230,5572,10802,2380,2211,7131,7183,14314,3163,
25398,Cundinamarca,La Peña,7051,Cundinamarca,La Peña,1,3729,3937,7666,1093,1027,5020,4259,9279,2644,
25402,Cundinamarca,La Vega,7052,Cundinamarca,La Vega,1,3611,3862,7473,1506,1217,4423,3467,7890,2369,
25407,Cundinamarca,Lenguazaque,7053,Cundinamarca,Lenguazaque,1,2637,3068,5705,1070,1044,2655,2926,5581,1192,
25426,Cundinamarca,Macheta,7054,Cundinamarca,Macheta,1,6863,8679,15542,3012,3031,13288,10146,23434,5986,
25430,Cundinamarca,Madrid,7055,Cundinamarca,Madrid,1,2179,2332,4511,884,745,2042,2578,4620,949,
25436,Cundinamarca,Manta,7056,Cundinamarca,Manta,1,7309,5504,12813,1848,1989,8673,7498,16171,5255,
25438,Cundinamarca,Medina,7057,Cundinamarca,Medina,1,1381,1353,2734,607,584,1614,1457,3071,845,
25473,Cundinamarca,Mosquera,7058,Cundinamarca,Mosquera,1,1343,1622,2965,403,511,1466,1661,3127,577,
25483,Cundinamarca,Nariño,7059,Cundinamarca,Nariño,1,671,660,1331,288,277,1054,849,1903,419,
25486,Cundinamarca,Nemocon,7060,Cundinamarca,Nemocon,1,2637,2724,5361,1037,908,2664,2695,5359,1710,
25488,Cundinamarca,Nilo,7061,Cundinamarca,Nilo,1,1977,1711,3688,603,661,2216,1922,4138,1078,
25489,Cundinamarca,Nimaima,7062,Cundinamarca,Nimaima,1,2147,1631,3778,640,714,3754,2599,6353,1969,
25491,Cundinamarca,Nocaima,7063,Cundinamarca,Nocaima,1,2368,2229,4597,1473,1468,4906,4271,9177,3128,
